no,component-name,component-symbol,id,expr,A,B,C,D,unit
1,hydrogen,H2,eq1,26.879 + 4.35E-03*T + -3.30E-07*(T**2),2.69E+01,4.35E-03,-3.30E-07,0.00E+00,kJ/kmol.K
2,carbon dioxide,CO2,eq1,22.243 + 5.98E-02*T + -3.50E-05*(T**2) + 7.46E-09*(T**3),2.22E+01,5.98E-02,-3.50E-05,7.46E-09,kJ/kmol.K
3,water,H2O,eq1,29.163 + 1.45E-02*T + -2.02E-06*(T**2),2.92E+01,1.45E-02,-2.02E-06,0.00E+00,kJ/kmol.K
4,carbon monoxide,CO,eq1,27.113 + 6.55E-03*T + -1.00E-06*(T**2),2.71E+01,6.55E-03,-1.00E-06,0.00E+00,kJ/kmol.K
5,methanol,CH4O,eq1,19.038 + 9.15E-02*T + -1.22E-05*(T**2) + -8.03E-09*(T**3),1.90E+01,9.15E-02,-1.22E-05,-8.03E-09,kJ/kmol.K
6,dimethyl ether,C2H6O,eq1,19.8 + 0.17*T + -5.66e-5*(T**2),1.98E+01,1.70E-01,-5.66E-05,0.00E+00,kJ/kmol.K
7,nitrogen,N2,eq1,28.883 + -1.57E-03*T + 8.08E-06*(T**2) + -2.87E-09*(T**3),2.89E+01,-1.57E-03,8.08E-06,-2.87E-09,kJ/kmol.K
8,methane,CH4,eq1,19.875 + 5.021E-02*T + 1.268E-05*(T**2) + -11.004E-09*(T**3),1.99E+01,5.02E-02,1.27E-05,-1.10E-08,kJ/kmol.K
9,ethylene,C2H4,eq1,3.950 + 15.628E-02*T + -8.339E-05*(T**2) + 17.657E-09*(T**3),3.95E+00,1.56E-01,-8.34E-05,1.77E-08,kJ/kmol.K
10,propylene,C3H6,eq1,3.151 + 23.812E-02*T + -12.176E-05*(T**2) + 24.603E-09*(T**3),3.15E+00,2.38E-01,-1.22E-04,2.46E-08,kJ/kmol.K
11,propane,C3H8,eq1,-4.042 + 30.456E-02*T + -15.711E-05*(T**2) + 31.716E-09*(T**3),"-4.04E+00	",3.05E-01,-1.57E-04,3.17E-08,kJ/kmol.K
12,butane,C4H10,eq1,-7.908 + 41.573E-02*T + -22.992E-05*(T**2) + 49.875E-09*(T**3),-7.91E+00,4.16E-01,-2.30E-04,4.99E-08,kJ/kmol.K
